"DRUPAL_NODE","TITLE","DATASTORE_URL","DDATE","CATEGORIES","LONGDESC","GEOGRAPHY","EXTENT","AUTHOR_NAME","MAINTAINER","MAINTAINER_EMAIL","UPDATE_FREQUENCY","DATE_RANGE","RELEASE_DATE","METADATA_UPDATE","LICENSE_SUMMARY","URL","DOWNLOAD_URL","EXCEL_URL","CSV_URL","XML_URL","GOOGLEDOCS_URL","JSON_URL","SHP_URL","KML_URL","TAB_URL","APPS_USING_THIS_DATA","TAGS","apps_using_this_data_urls","license_details","spatial_ref"
"721","Hazardous, Harmful and Binge Drinking Rates","http://data.london.gov.uk/datastore/package/hazardous-harmful-and-binge-drinking-rates","JANUARY 2010","health, Health","<p>Binge drinkers are people who reported that in the last week they had drunk 8 or more units of alcohol if they were a man, or 6 or more units of alcohol if they were a woman, on any one day or more. This is over double the daily recognised sensible levels in any one day.</p>\
<p>Hazardous drinking - Drinking above recognised sensible levels, but not yet experiencing harm (measured by consumption of between 22 and 50 units per week for males and between 15 and 35 units per week for females);</p>\
<p>Harmful drinking - Drinking above recognised sensible levels and experiencing harm, such as an alcohol-related accident, acute alcohol poisoning, hypertension, cirrhosis (measured by consumption of over 50 units per week for males and over 35 units per week for females);</p>\
<p>NWPHO from Health Survey for England 2003-2005 (HSE) and General Household Survey 2005 (GHS).</p>\
<p>Date of Next Release 01/10/2010.</p>\
<p>Numbers and rates. Confidence intervals supplied by NWPHO.</p>","Local Authority","Greater London","North West Public Health Observatory (NWPHO)","","","Unknown","2005","2008","10/09/2010","Crown Copyright","http://www.nwph.net/alcohol/lape/download.htm","http://www.nwph.net/nwpho/publications/AlcoholAttributableFractions.pdf","","http://data.london.gov.uk/datafiles/health/alcohol-drinking-rates-borough.csv","http://data.london.gov.uk/datafiles/health/alcohol-drinking-rates-borough.xml","","","","","","","alcohol, binge drinking, nwpho","","",""
"722","Legal Abortion Rates","http://data.london.gov.uk/datastore/package/legal-abortion-rates","JANUARY 2010","health, Health","Legal abortions: rates by Primary Care Organisation by age. Rates per 1,000 in age group. Age not stated have been distributed  pro-rata across age group 20-24. Rates for under 16 are based on populations 13-15. Rates for all ages, under 18 and 35 and over are based on populations 15-44, 15-17 and 35-44 respectively. Next release May 2010.\
","Primary Care Organisations","Greater London","Department of Health","","","Annual","2003 to 2008","21/05/2009","10/09/2010","Crown Copyright","http://www.dh.gov.uk/en/Publicationsandstatistics/Statistics/StatisticalWorkAreas/Statisticalpublichealth/index.htm","http://www.dh.gov.uk/en/Publicationsandstatistics/Publications/PublicationsStatistics/DH_099285","","http://data.london.gov.uk/datafiles/health/abortion-legal-rates-pct.csv","http://data.london.gov.uk/datafiles/health/abortion-legal-rates-pct.xml","","","","","","","abortion, dh","","",""
"723","Births by Birthplace of Mother, Borough","http://data.london.gov.uk/datastore/package/births-birthplace-mother-borough","JANUARY 2010","Demographics, health","<p>Live births (numbers): birthplace of mother and area of usual residence.</p>\
<p>1 United Kingdom. England, Wales, Scotland, Northern Ireland, Channel Islands, Isle of Man, UK (not otherwise stated).</p>\
<p>Outside United Kingdom:</p>\
<p>European Union. 1 - Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Denmark, Eire, Estonia, Finland, France, Germany, Greece, Hungary, Ireland (not otherwise stated), Italy, Latvia, Lithuania, Luxembourg, Malta, The Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden.</p>\
<p>New EU Countries which have joined the EU since 2004 - Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia.</p>\
<p>Rest of Europe (non EU) - All other European countries, including Turkey, Russia and the rest of the former Soviet republics. Asia. Africa.</p>\
<p>Rest of the World - Includes Not Stated.</p>\
<p>2 The 'New EU' constitutes the twelve countries which have joined the European Union since 2004 (see Metadata). The twelve countries which have joined the European Union since 2004 are included in both the New EU and the EU column.</p>\
<p>3 Rest of the World includes those records where the mother's country of birth was not stated. In 2007, there were 18 such records.</p>\
<p>4 This table excludes births to mothers whose usual residence was outside of England and Wales</p>","Local Authority","Greater London","Office for National Statistics","","","Annually","2008","01/12/2008","10/09/2010","Crown Copyright","http://www.statistics.gov.uk/statbase/Product.asp?vlnk=5768","http://www.statistics.gov.uk/downloads/theme_population/FM1_36/FM1-No36.pdf","http://data.london.gov.uk/datafiles/demographics/mother-country-of-birth.xls","http://data.london.gov.uk/datafiles/demographics/births-mother-birthplace-borough.csv","http://data.london.gov.uk/datafiles/demographics/births-mother-birthplace-borough.xml","","","","","","Focus on London - Population and Migration","births, country of birth, migration, ons","http://data.london.gov.uk/datastore/applications/focus-london-population-and-migration","",""
"724","Births and Fertility Rates","http://data.london.gov.uk/datastore/package/births-and-fertility-rates","MAY 2010","health, Health","<p>Live births by local authority of usual residence of mother, General Fertility Rates and Total Fertility Rates.</p>\
<p>The general fertility rate (GFR) is the number of live births per 1,000 women aged 15-44. Rates are based on the most up-to-date population estimates.</p>\
<p>The General Fertility Rate (GFR) is the number of live births per 1,000 women aged 15-44.</p>\
<p>The Total Fertility Rate (TFR) is the average number of live children that a group of women would bear if they experienced the age-specific fertility  rates of the calendar year in question throughout their childbearing lifespan.</p>\
<p>The TFR has been calculated using the number of live births and the 2006 mid-year population estimates (sub-nationally) and the 2006-based 2007 projections (nationally) for women by single year of age. This generally produces a better match of births to those at risk of having births. However, local authority level population estimates are only considered reliable in five-year age bands. Thus, especially in small local authorities, it should be noted that rates computed using single year of age data may produce spurious results.</p>\
<p>City of London has been grouped with Hackney after 2004.</p>\
<p><a title=""Motion Chart"" href=""http://spreadsheets.google.com/pub?key=0Atr4jSeyWzlydGZqMFlIcWM0U09Hd3B0RTlZSFF5bEE&amp;gid=1"" target=""_blank"">A Google Docs Motion chart showing Total Fertility Rates (1982 - 2009p) for  London Boroughs is available.</a> There are 3 charting options, bubbles, bar and line. Click on the bar tab. On  the colour menu, choose TFR. The play button is located at the bottom left hand  of the chart.</p>\
<p><a title=""Motion Chart"" href=""http://spreadsheets.google.com/pub?key=0Atr4jSeyWzlydGZqMFlIcWM0U09Hd3B0RTlZSFF5bEE&amp;gid=1"" target=""_blank""><img src=""http://data.london.gov.uk/images/tfr-motion-chart-thumb.PNG"" alt=""TFR motion chart"" width=""335"" height=""261"" /></a></p>\
<p>Next release May-11</p>","Local Authority","Greater London","Office for National Statistics","","","Annual","2002 to 2009","25/05/2010","10/09/2010","Crown Copyright","http://www.statistics.gov.uk/statbase/Product.asp?vlnk=14408","http://www.statistics.gov.uk/statbase/product.asp?vlnk=6303","http://data.london.gov.uk/datafiles/health/births-fertility-rates-borough.xls","http://data.london.gov.uk/datafiles/health/births-fertility-rates-borough.csv","http://data.london.gov.uk/datafiles/health/births-fertility-rates-borough.xml","","","","","","","births, fertility, ons","","",""
"733","GLA Employment Projections","http://data.london.gov.uk/datastore/package/gla-employment-projections","DECEMBER 2011","Business and Economy, Employment and Skills","<p>London's long-run trend-based employment projections by sector and by borough.</p>\
<p><strong><em>2011 Projections Data</em></strong></p>\
<p>It is important to note that these borough forecasts are not the ones that woud be used for a replacement London Plan as these have not been 'triangulated' with forecasts for transport accessibility and workplace capacity</p>\
<p>See <a href=""http://www.london.gov.uk/publication/working-paper-51-employment-projections-london-sector-and-trend-based-projections-borough"">GLA Economics Working Paper 51</a> for further information</p>\
<p><a href=""http://data.london.gov.uk/datafiles/business-economy/gla-employment-projections-borough-2011.csv"">2011 Borough Projections</a><br /><a href=""http://data.london.gov.uk/datafiles/business-economy/gla-employment-projections-sector-2011.csv"">2011 Sector Projections</a></p>\
<p><em><strong>2009 Projections Data</strong></em></p>\
<p>Borough level employment projections. Combines 3 sets of projections (trend-based, accessibility-based and the London employment sites database) according to a set of ‘triangulation’ rules. These are the borough employment projections in the London Plan and used elsewhere in the GLA group for planning purposes.</p>\
<p>Projects sector employment (12  sectors) on the basis of individual trends. Historic data (from 1971 to 2007) is licenced from Experian Business  Strategies and projections (2008 to 2031) modelled by GLA Economics.  Feeds into Triangulated employment projections.</p>\
<p>See <a href=""http://www.london.gov.uk/who-runs-london/mayor/publications/business-and-economy/employment-projections-2031"">GLA Economics Working Papers 38 and 39</a> for further information</p>\
<p><a href=""http://data.london.gov.uk/datafiles/business-economy/employment-projections-borough-2009.csv"">2009 Borough Projections</a><br /><a href=""http://data.london.gov.uk/datafiles/business-economy/employment-projections-sector-2009.csv"">2009 Sector Projections</a></p>","Local Authority","Greater London","GLA Economics, Intelligence Unit, Greater London Authority","","","Every 2 years","1981 to 2036","15/12/2011","08/02/2012","","","","","","","","","","","","","employment, gla, projections","","<p>Historic data (1971-2007) purchased from Experian Business Strategies. Source of historic data should be acknowledged.</p>",""
"725","Births with Low Birthweight","http://data.london.gov.uk/datastore/package/births-low-birthweight","JANUARY 2010","health, Health","<p>Percentage of Live Births with Low Birthweight.</p>\
<p>This dataset contains counts and percentages of low birthweight (less than 2500 grams) live births.</p>\
<p>Allocation to geographical area is based on mother’s place of usual residence.</p>\
<p>The percentage of low birthweight live births is calculated as the number of low birthweight live births divided by the total number of live births where birthweight is stated, and expressed as a percentage.</p>\
<p>An association has also been shown between low birth weight and adverse health in later childhood and adulthood.</p>\
<p>Births for the City of London have been included with those for Hackney.</p>\
<p>Next release Oct-10.</p>","Local Authority","Greater London","Vital Statistics Output Branch (VSOB), Office for National Statistics","","","Annual","1999 to 2007","01/10/2009","10/09/2010","Crown Copyright","http://www.neighbourhood.statistics.gov.uk/dissemination/datasetList.do;jsessionid=ac1f930c30d74ed1b47601424cef8370d4697b6b40b6?","http://neighbourhood.statistics.gov.uk/dissemination/Info.do?page=news/newsitems/8-october-2009-low-birthweight-live-births.htm","","http://data.london.gov.uk/datafiles/health/births-low-weight-borough.csv","http://data.london.gov.uk/datafiles/health/births-low-weight-borough.xml","","","","","","","births, ons, vsob","","",""
"726","Working-Age Disability, Borough","http://data.london.gov.uk/datastore/package/working-age-disability-borough","JANUARY 2010","health, Health","<p>Working age population by a range of disability related categories. Disabled population broken down by DDA and work-limiting defintions.</p>\
<p>! Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).</p>\
<p>* Estimate and confidence interval unreliable since the group sample size is small (3-9).</p>\
<p>95% confidence interval of percent figure (+/-).</p>\
<p>Disabled definitions here http://www.statistics.gov.uk/downloads/theme_labour/LFSHQS/Concepts_Definitions_HQS.pdf.</p>\
<p>Next release 01-Sep-10 (Annual Population Survey 2009).</p>","Local Authority","Greater London","Office for National Statistics","","","Annual","2004 to 2008","01/09/2009","10/09/2010","Crown Copyright","http://www.statistics.gov.uk/STATBASE/Product.asp?vlnk=10855","https://www.nomisweb.co.uk/","http://data.london.gov.uk/datafiles/health/disability-working-age-borough.xls","http://data.london.gov.uk/datafiles/health/disability-working-age-borough.csv","http://data.london.gov.uk/datafiles/health/disability-working-age-borough.xml","","","","","","","disability, ons","","",""
"727","London Assembly Committee Members","http://data.london.gov.uk/datastore/package/london-assembly-committee-members","JANUARY 2010","Transparency","<p>List of which London Assembly Members sit on each of the Assembly committees</p>","","","Secretariat, London Assembly, Greater London Authority","Secretariat, London Assembly, Greater London Authority","","","","01/11/2009","10/09/2010","","","","","http://data.london.gov.uk/datafiles/transparency/assembly-committee-members.csv","http://data.london.gov.uk/datafiles/transparency/assembly-committee-members.xml","","","","","","","assembly members, committees, gla, london assembly","","",""
"728","Ambulance Call Outs to Assaults with Knife Injuries","http://data.london.gov.uk/datastore/package/ambulance-call-outs-assaults-knife-injuries","NOVEMBER 2010","Crime and Community Safety","<p>Count of Knife injuries recorded by London Ambulance Service, per month, per ward in London for a rolling two year period.</p>\
<p>The London Analysts Support site team (LASS) have developed this dataset in consultation with the Ambulance service to make their data more suitable for crime analysis purposes. Please note: The primary purpose of the London Ambulance Service is to save lives and respond effectively to medical emergencies. The data provided here is an extract of ambulance data which is recorded to monitor their performance to this end.</p>\
<p>The LASS team work with the ambulance service to extract data suitable for crime analysis professionals, with the aim of causing minimum disruption to frontline services.</p>\
<p>These incidents of knife injury have been identified through a fairly sophisticated search through various codes and descriptions of incidents that occur in the process of responding to a 999 call. This has been done in close consultation with the ambulance service to ensure that the data is fit for crime analysis purposes. It should be considered that the precision of the crime related information, collected in the process of responding to a 999 call, is of secondary consideration to the need to record accurate medical information, therefore the accuracy of the data may have minor variations over time and in different areas of London.</p>\
<p>LASS work closely with the London Ambulance Service to ensure that there is no significant impact on the quality of information for crime related purposes.</p>\
<p>There are ongoing improvements to improve the data collection process. We will be updating the metadata and providing more information in due course. Please contact the LASS team if you have queries or comments, quoting the Datastore project.</p>","Ward","Greater London","London Ambulance Service","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/ambulance-knife-injury-ward.csv","http://data.london.gov.uk/datafiles/crime-community-safety/ambulance-knife-injury-ward.xml","","","","","","","ambulance, assaults, crime, gla, knife, las, lass, wards","","",""
"729","Ambulance Call Outs to Assaults with Gun Injuries","http://data.london.gov.uk/datastore/package/ambulance-call-outs-assaults-gun-injuries","NOVEMBER 2010","Crime and Community Safety","<p>Count of Gun shot injuries recorded by London Ambulance Service, per month, per ward in London for a rolling two year period.</p>\
<p>The London Analysts Support site team (LASS) have developed this dataset in consultation with the Ambulance service to make their data more suitable for crime analysis purposes. Please note: The primary purpose of the London Ambulance Service is to save lives and respond effectively to medical emergencies. The data provided here is an extract of ambulance data which is recorded to monitor their performance to this end.</p>\
<p>The LASS team work with the ambulance service to extract data suitable for crime analysis professionals, with the aim of causing minimum disruption to frontline services.</p>\
<p>These incidents of gun shot injury have been identified through a fairly sophisticated search through various codes and descriptions of incidents that occur in the process of responding to a 999 call. This has been done in close consultation with the ambulance service to ensure that the data is suitable for crime analysis purposes. It should be considered that the precision of the crime related information, collected in the process of responding to a 999 call, is of secondary consideration to the need to record accurate medical information, therefore the accuracy of the data may have minor variations over time and in different areas of London.</p>\
<p>LASS work closely with the London Ambulance Service to ensure that there is no significant impact on the quality of information for crime related purposes.</p>\
<p>There are ongoing improvements to improve the data collection process. We will be updating the metadata and providing more information in due course. Please contact the LASS team if you have queries or comments, quoting the Datastore project.<br /><br /></p>","Ward","Greater London","London Ambulance Service","London Analyst Support Site (LASS), Intelligence Unit, Greater London Authority","","Quarterly","Monthly counts June 2009 to May 2011","July 2011","05/07/2011","","","","","http://data.london.gov.uk/datafiles/crime-community-safety/ambulance-gun-injury-ward.csv","http://data.london.gov.uk/datafiles/crime-community-safety/ambulance-gun-injury-ward.xml","","","","","","","ambulance, assaults, crime, gla, gun, las, lass, wards","","",""
